table_schema,table_name,grantee,privilege_type
public,audit_logs,postgres,DELETE
public,audit_logs,postgres,INSERT
public,audit_logs,postgres,REFERENCES
public,audit_logs,postgres,SELECT
public,audit_logs,postgres,TRIGGER
public,audit_logs,postgres,TRUNCATE
public,audit_logs,postgres,UPDATE
public,audit_logs,service_role,DELETE
public,audit_logs,service_role,INSERT
public,audit_logs,service_role,REFERENCES
public,audit_logs,service_role,SELECT
public,audit_logs,service_role,TRIGGER
public,audit_logs,service_role,TRUNCATE
public,audit_logs,service_role,UPDATE
public,booking_assignment_idempotency,postgres,DELETE
public,booking_assignment_idempotency,postgres,INSERT
public,booking_assignment_idempotency,postgres,REFERENCES
public,booking_assignment_idempotency,postgres,SELECT
public,booking_assignment_idempotency,postgres,TRIGGER
public,booking_assignment_idempotency,postgres,TRUNCATE
public,booking_assignment_idempotency,postgres,UPDATE
public,booking_assignment_idempotency,service_role,DELETE
public,booking_assignment_idempotency,service_role,INSERT
public,booking_assignment_idempotency,service_role,REFERENCES
public,booking_assignment_idempotency,service_role,SELECT
public,booking_assignment_idempotency,service_role,TRIGGER
public,booking_assignment_idempotency,service_role,TRUNCATE
public,booking_assignment_idempotency,service_role,UPDATE
public,feature_flag_overrides,postgres,DELETE
public,feature_flag_overrides,postgres,INSERT
public,feature_flag_overrides,postgres,REFERENCES
public,feature_flag_overrides,postgres,SELECT
public,feature_flag_overrides,postgres,TRIGGER
public,feature_flag_overrides,postgres,TRUNCATE
public,feature_flag_overrides,postgres,UPDATE
public,feature_flag_overrides,service_role,DELETE
public,feature_flag_overrides,service_role,INSERT
public,feature_flag_overrides,service_role,REFERENCES
public,feature_flag_overrides,service_role,SELECT
public,feature_flag_overrides,service_role,TRIGGER
public,feature_flag_overrides,service_role,TRUNCATE
public,feature_flag_overrides,service_role,UPDATE
public,table_hold_windows,postgres,DELETE
public,table_hold_windows,postgres,INSERT
public,table_hold_windows,postgres,REFERENCES
public,table_hold_windows,postgres,SELECT
public,table_hold_windows,postgres,TRIGGER
public,table_hold_windows,postgres,TRUNCATE
public,table_hold_windows,postgres,UPDATE
public,table_hold_windows,service_role,DELETE
public,table_hold_windows,service_role,INSERT
public,table_hold_windows,service_role,REFERENCES
public,table_hold_windows,service_role,SELECT
public,table_hold_windows,service_role,TRIGGER
public,table_hold_windows,service_role,TRUNCATE
public,table_hold_windows,service_role,UPDATE
