schema,table_name,fk_name,fk_columns
public,allocations,allocations_created_by_fkey,{created_by}
public,booking_assignment_idempotency,booking_assignment_idempotency_merge_group_fkey,{merge_group_allocation_id}
public,booking_confirmation_results,booking_confirmation_results_restaurant_id_fkey,{restaurant_id}
public,booking_state_history,booking_state_history_changed_by_fkey,{changed_by}
public,booking_table_assignments,booking_table_assignments_allocation_id_fkey,{allocation_id}
public,booking_table_assignments,booking_table_assignments_assigned_by_fkey,{assigned_by}
public,bookings,bookings_assigned_zone_id_fkey,{assigned_zone_id}
public,bookings,bookings_booking_type_fkey,{booking_type}
public,loyalty_point_events,loyalty_point_events_restaurant_id_fkey,{restaurant_id}
public,loyalty_points,loyalty_points_customer_id_fkey,{customer_id}
public,manual_assignment_sessions,manual_assignment_sessions_created_by_fkey,{created_by}
public,manual_assignment_sessions,manual_assignment_sessions_hold_fkey,{hold_id}
public,restaurant_capacity_rules,restaurant_capacity_rules_service_period_id_fkey,{service_period_id}
public,restaurant_invites,restaurant_invites_invited_by_fkey,{invited_by}
public,restaurant_service_periods,restaurant_service_periods_booking_option_fkey,{booking_option}
public,restaurant_turn_bands,restaurant_turn_bands_booking_option_fkey,{booking_option}
public,strategic_configs,strategic_configs_updated_by_fkey,{updated_by}
public,table_holds,table_holds_created_by_fkey,{created_by}
public,table_inventory,table_inventory_allowed_capacity_fkey,"{restaurant_id,capacity}"
