table_schema,table_name,grantee,privilege_type
public,audit_logs,anon,DELETE
public,audit_logs,anon,INSERT
public,audit_logs,anon,REFERENCES
public,audit_logs,anon,SELECT
public,audit_logs,anon,TRIGGER
public,audit_logs,anon,TRUNCATE
public,audit_logs,anon,UPDATE
public,audit_logs,authenticated,DELETE
public,audit_logs,authenticated,INSERT
public,audit_logs,authenticated,REFERENCES
public,audit_logs,authenticated,SELECT
public,audit_logs,authenticated,TRIGGER
public,audit_logs,authenticated,TRUNCATE
public,audit_logs,authenticated,UPDATE
public,audit_logs,postgres,DELETE
public,audit_logs,postgres,INSERT
public,audit_logs,postgres,REFERENCES
public,audit_logs,postgres,SELECT
public,audit_logs,postgres,TRIGGER
public,audit_logs,postgres,TRUNCATE
public,audit_logs,postgres,UPDATE
public,audit_logs,service_role,DELETE
public,audit_logs,service_role,INSERT
public,audit_logs,service_role,REFERENCES
public,audit_logs,service_role,SELECT
public,audit_logs,service_role,TRIGGER
public,audit_logs,service_role,TRUNCATE
public,audit_logs,service_role,UPDATE
public,booking_assignment_idempotency,anon,DELETE
public,booking_assignment_idempotency,anon,INSERT
public,booking_assignment_idempotency,anon,REFERENCES
public,booking_assignment_idempotency,anon,SELECT
public,booking_assignment_idempotency,anon,TRIGGER
public,booking_assignment_idempotency,anon,TRUNCATE
public,booking_assignment_idempotency,anon,UPDATE
public,booking_assignment_idempotency,authenticated,DELETE
public,booking_assignment_idempotency,authenticated,INSERT
public,booking_assignment_idempotency,authenticated,REFERENCES
public,booking_assignment_idempotency,authenticated,SELECT
public,booking_assignment_idempotency,authenticated,TRIGGER
public,booking_assignment_idempotency,authenticated,TRUNCATE
public,booking_assignment_idempotency,authenticated,UPDATE
public,booking_assignment_idempotency,postgres,DELETE
public,booking_assignment_idempotency,postgres,INSERT
public,booking_assignment_idempotency,postgres,REFERENCES
public,booking_assignment_idempotency,postgres,SELECT
public,booking_assignment_idempotency,postgres,TRIGGER
public,booking_assignment_idempotency,postgres,TRUNCATE
public,booking_assignment_idempotency,postgres,UPDATE
public,booking_assignment_idempotency,service_role,DELETE
public,booking_assignment_idempotency,service_role,INSERT
public,booking_assignment_idempotency,service_role,REFERENCES
public,booking_assignment_idempotency,service_role,SELECT
public,booking_assignment_idempotency,service_role,TRIGGER
public,booking_assignment_idempotency,service_role,TRUNCATE
public,booking_assignment_idempotency,service_role,UPDATE
public,feature_flag_overrides,anon,DELETE
public,feature_flag_overrides,anon,INSERT
public,feature_flag_overrides,anon,REFERENCES
public,feature_flag_overrides,anon,SELECT
public,feature_flag_overrides,anon,TRIGGER
public,feature_flag_overrides,anon,TRUNCATE
public,feature_flag_overrides,anon,UPDATE
public,feature_flag_overrides,authenticated,DELETE
public,feature_flag_overrides,authenticated,INSERT
public,feature_flag_overrides,authenticated,REFERENCES
public,feature_flag_overrides,authenticated,SELECT
public,feature_flag_overrides,authenticated,TRIGGER
public,feature_flag_overrides,authenticated,TRUNCATE
public,feature_flag_overrides,authenticated,UPDATE
public,feature_flag_overrides,postgres,DELETE
public,feature_flag_overrides,postgres,INSERT
public,feature_flag_overrides,postgres,REFERENCES
public,feature_flag_overrides,postgres,SELECT
public,feature_flag_overrides,postgres,TRIGGER
public,feature_flag_overrides,postgres,TRUNCATE
public,feature_flag_overrides,postgres,UPDATE
public,feature_flag_overrides,service_role,DELETE
public,feature_flag_overrides,service_role,INSERT
public,feature_flag_overrides,service_role,REFERENCES
public,feature_flag_overrides,service_role,SELECT
public,feature_flag_overrides,service_role,TRIGGER
public,feature_flag_overrides,service_role,TRUNCATE
public,feature_flag_overrides,service_role,UPDATE
public,loyalty_point_events,anon,DELETE
public,loyalty_point_events,anon,INSERT
public,loyalty_point_events,anon,REFERENCES
public,loyalty_point_events,anon,SELECT
public,loyalty_point_events,anon,TRIGGER
public,loyalty_point_events,anon,TRUNCATE
public,loyalty_point_events,anon,UPDATE
public,loyalty_point_events,authenticated,DELETE
public,loyalty_point_events,authenticated,INSERT
public,loyalty_point_events,authenticated,REFERENCES
public,loyalty_point_events,authenticated,SELECT
public,loyalty_point_events,authenticated,TRIGGER
public,loyalty_point_events,authenticated,TRUNCATE
public,loyalty_point_events,authenticated,UPDATE
public,loyalty_point_events,postgres,DELETE
public,loyalty_point_events,postgres,INSERT
public,loyalty_point_events,postgres,REFERENCES
public,loyalty_point_events,postgres,SELECT
public,loyalty_point_events,postgres,TRIGGER
public,loyalty_point_events,postgres,TRUNCATE
public,loyalty_point_events,postgres,UPDATE
public,loyalty_point_events,service_role,DELETE
public,loyalty_point_events,service_role,INSERT
public,loyalty_point_events,service_role,REFERENCES
public,loyalty_point_events,service_role,SELECT
public,loyalty_point_events,service_role,TRIGGER
public,loyalty_point_events,service_role,TRUNCATE
public,loyalty_point_events,service_role,UPDATE
public,loyalty_points,anon,DELETE
public,loyalty_points,anon,INSERT
public,loyalty_points,anon,REFERENCES
public,loyalty_points,anon,SELECT
public,loyalty_points,anon,TRIGGER
public,loyalty_points,anon,TRUNCATE
public,loyalty_points,anon,UPDATE
public,loyalty_points,authenticated,DELETE
public,loyalty_points,authenticated,INSERT
public,loyalty_points,authenticated,REFERENCES
public,loyalty_points,authenticated,SELECT
public,loyalty_points,authenticated,TRIGGER
public,loyalty_points,authenticated,TRUNCATE
public,loyalty_points,authenticated,UPDATE
public,loyalty_points,postgres,DELETE
public,loyalty_points,postgres,INSERT
public,loyalty_points,postgres,REFERENCES
public,loyalty_points,postgres,SELECT
public,loyalty_points,postgres,TRIGGER
public,loyalty_points,postgres,TRUNCATE
public,loyalty_points,postgres,UPDATE
public,loyalty_points,service_role,DELETE
public,loyalty_points,service_role,INSERT
public,loyalty_points,service_role,REFERENCES
public,loyalty_points,service_role,SELECT
public,loyalty_points,service_role,TRIGGER
public,loyalty_points,service_role,TRUNCATE
public,loyalty_points,service_role,UPDATE
public,loyalty_programs,anon,DELETE
public,loyalty_programs,anon,INSERT
public,loyalty_programs,anon,REFERENCES
public,loyalty_programs,anon,SELECT
public,loyalty_programs,anon,TRIGGER
public,loyalty_programs,anon,TRUNCATE
public,loyalty_programs,anon,UPDATE
public,loyalty_programs,authenticated,DELETE
public,loyalty_programs,authenticated,INSERT
public,loyalty_programs,authenticated,REFERENCES
public,loyalty_programs,authenticated,SELECT
public,loyalty_programs,authenticated,TRIGGER
public,loyalty_programs,authenticated,TRUNCATE
public,loyalty_programs,authenticated,UPDATE
public,loyalty_programs,postgres,DELETE
public,loyalty_programs,postgres,INSERT
public,loyalty_programs,postgres,REFERENCES
public,loyalty_programs,postgres,SELECT
public,loyalty_programs,postgres,TRIGGER
public,loyalty_programs,postgres,TRUNCATE
public,loyalty_programs,postgres,UPDATE
public,loyalty_programs,service_role,DELETE
public,loyalty_programs,service_role,INSERT
public,loyalty_programs,service_role,REFERENCES
public,loyalty_programs,service_role,SELECT
public,loyalty_programs,service_role,TRIGGER
public,loyalty_programs,service_role,TRUNCATE
public,loyalty_programs,service_role,UPDATE
public,table_hold_windows,anon,DELETE
public,table_hold_windows,anon,INSERT
public,table_hold_windows,anon,REFERENCES
public,table_hold_windows,anon,SELECT
public,table_hold_windows,anon,TRIGGER
public,table_hold_windows,anon,TRUNCATE
public,table_hold_windows,anon,UPDATE
public,table_hold_windows,authenticated,DELETE
public,table_hold_windows,authenticated,INSERT
public,table_hold_windows,authenticated,REFERENCES
public,table_hold_windows,authenticated,SELECT
public,table_hold_windows,authenticated,TRIGGER
public,table_hold_windows,authenticated,TRUNCATE
public,table_hold_windows,authenticated,UPDATE
public,table_hold_windows,postgres,DELETE
public,table_hold_windows,postgres,INSERT
public,table_hold_windows,postgres,REFERENCES
public,table_hold_windows,postgres,SELECT
public,table_hold_windows,postgres,TRIGGER
public,table_hold_windows,postgres,TRUNCATE
public,table_hold_windows,postgres,UPDATE
public,table_hold_windows,service_role,DELETE
public,table_hold_windows,service_role,INSERT
public,table_hold_windows,service_role,REFERENCES
public,table_hold_windows,service_role,SELECT
public,table_hold_windows,service_role,TRIGGER
public,table_hold_windows,service_role,TRUNCATE
public,table_hold_windows,service_role,UPDATE
