schema,table_name,index_names,index_unique_flags,index_primary_flags,indkey,predicate,exprs,sample_def
public,allowed_capacities,"{allowed_capacities_pkey,allowed_capacities_restaurant_idx}","{t,f}","{t,f}",1 2,,,"CREATE UNIQUE INDEX allowed_capacities_pkey ON public.allowed_capacities USING btree (restaurant_id, capacity)"
public,audit_logs,"{idx_audit_logs_entity,idx_audit_logs_entity_id}","{f,f}","{f,f}",2 3,,,"CREATE INDEX idx_audit_logs_entity ON public.audit_logs USING btree (entity, entity_id)"
public,booking_assignment_idempotency,"{bai_rest_bk_idx,booking_assignment_idempo_bkid_key_idx,booking_assignment_idempotency_pkey}","{f,f,t}","{f,f,t}",1 2,,,"CREATE UNIQUE INDEX booking_assignment_idempotency_pkey ON public.booking_assignment_idempotency USING btree (booking_id, idempotency_key)"
public,booking_assignment_idempotency,"{booking_assignment_idempotency_created_idx,idx_booking_assignment_idempotency_created}","{f,f}","{f,f}",6,,,CREATE INDEX booking_assignment_idempotency_created_idx ON public.booking_assignment_idempotency USING btree (created_at DESC)
public,booking_confirmation_results,"{booking_confirmation_results_hold_id_key,booking_confirmation_results_hold_idx}","{t,f}","{f,f}",2,,,CREATE UNIQUE INDEX booking_confirmation_results_hold_id_key ON public.booking_confirmation_results USING btree (hold_id)
public,booking_slots,"{booking_slots_restaurant_slot_key,idx_booking_slots_lookup}","{t,f}","{f,f}",2 3 4,,,"CREATE UNIQUE INDEX booking_slots_restaurant_slot_key ON public.booking_slots USING btree (restaurant_id, slot_date, slot_time)"
public,booking_table_assignments,"{bta_booking_id_idx,idx_booking_table_assignments_booking,idx_booking_table_assignments_booking_id}","{f,f,f}","{f,f,f}",2,,,CREATE INDEX bta_booking_id_idx ON public.booking_table_assignments USING btree (booking_id)
public,bookings,"{bookings_reference_key,idx_bookings_reference}","{t,f}","{f,f}",16,,,CREATE UNIQUE INDEX bookings_reference_key ON public.bookings USING btree (reference)
public,bookings,"{bookings_restaurant_date_idx,idx_bookings_restaurant_date_start}","{f,f}","{f,f}",2 4 7,,,"CREATE INDEX bookings_restaurant_date_idx ON public.bookings USING btree (restaurant_id, booking_date, start_at)"
public,customers,"{customers_restaurant_id_email_normalized_key,idx_customers_email_normalized}","{t,f}","{f,f}",2 6,,,"CREATE UNIQUE INDEX customers_restaurant_id_email_normalized_key ON public.customers USING btree (restaurant_id, email_normalized)"
public,customers,"{customers_restaurant_id_phone_normalized_key,idx_customers_phone_normalized}","{t,f}","{f,f}",2 7,,,"CREATE UNIQUE INDEX customers_restaurant_id_phone_normalized_key ON public.customers USING btree (restaurant_id, phone_normalized)"
public,loyalty_points,"{idx_loyalty_points_restaurant_customer,loyalty_points_restaurant_id_customer_id_key}","{f,t}","{f,f}",2 3,,,"CREATE UNIQUE INDEX loyalty_points_restaurant_id_customer_id_key ON public.loyalty_points USING btree (restaurant_id, customer_id)"
public,loyalty_programs,"{idx_loyalty_programs_restaurant,loyalty_programs_restaurant_id_key}","{f,t}","{f,f}",2,,,CREATE UNIQUE INDEX loyalty_programs_restaurant_id_key ON public.loyalty_programs USING btree (restaurant_id)
public,restaurant_turn_bands,"{restaurant_turn_bands_lookup_idx,restaurant_turn_bands_unique_idx}","{f,t}","{f,f}",2 3 4,,,"CREATE INDEX restaurant_turn_bands_lookup_idx ON public.restaurant_turn_bands USING btree (restaurant_id, booking_option, max_party_size)"
public,restaurants,"{idx_restaurants_slug,restaurants_slug_key}","{f,t}","{f,f}",3,,,CREATE UNIQUE INDEX restaurants_slug_key ON public.restaurants USING btree (slug)
public,strategic_configs,"{idx_strategic_configs_restaurant,strategic_configs_restaurant_id_key}","{f,t}","{f,f}",2,,,CREATE UNIQUE INDEX strategic_configs_restaurant_id_key ON public.strategic_configs USING btree (restaurant_id)
public,table_hold_members,"{table_hold_members_hold_id_table_id_key,thm_unique}","{t,t}","{f,f}",2 3,,,"CREATE UNIQUE INDEX table_hold_members_hold_id_table_id_key ON public.table_hold_members USING btree (hold_id, table_id)"
public,table_hold_members,"{idx_table_hold_members_table,table_hold_members_table_active_idx,table_hold_members_table_idx}","{f,f,f}","{f,f,f}",3,,,CREATE INDEX idx_table_hold_members_table ON public.table_hold_members USING btree (table_id)
public,table_scarcity_metrics,"{idx_table_scarcity_metrics_restaurant_type,unique_restaurant_table_type}","{f,t}","{f,f}",2 3,,,"CREATE UNIQUE INDEX unique_restaurant_table_type ON public.table_scarcity_metrics USING btree (restaurant_id, table_type)"
