schemaname,table_name,index_name,index_size,idx_scan,idx_tup_read,idx_tup_fetch,is_primary,is_unique,is_valid,index_def
public,table_adjacencies,table_adjacencies_pkey,40 kB,0,0,0,t,t,t,"CREATE UNIQUE INDEX table_adjacencies_pkey ON public.table_adjacencies USING btree (table_a, table_b)"
public,restaurant_service_periods,idx_restaurant_service_periods_scope,16 kB,0,0,0,f,f,t,"CREATE INDEX idx_restaurant_service_periods_scope ON public.restaurant_service_periods USING btree (restaurant_id, COALESCE((day_of_week)::integer, '-1'::integer))"
public,booking_occasions,booking_occasions_pkey,16 kB,90,90,90,t,t,t,CREATE UNIQUE INDEX booking_occasions_pkey ON public.booking_occasions USING btree (key)
public,booking_occasions,booking_occasions_active_idx,16 kB,0,0,0,f,f,t,"CREATE INDEX booking_occasions_active_idx ON public.booking_occasions USING btree (is_active, deleted_at) WHERE (deleted_at IS NULL)"
public,booking_occasions,booking_occasions_display_order_idx,16 kB,0,0,0,f,f,t,CREATE INDEX booking_occasions_display_order_idx ON public.booking_occasions USING btree (display_order)
public,table_adjacencies,table_adjacencies_table_b_idx,16 kB,0,0,0,f,f,t,CREATE INDEX table_adjacencies_table_b_idx ON public.table_adjacencies USING btree (table_b)
public,profiles,idx_profiles_has_access,16 kB,0,0,0,f,f,t,CREATE INDEX idx_profiles_has_access ON public.profiles USING btree (has_access)
public,profiles,profiles_pkey,16 kB,20,7,7,t,t,t,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,profiles,idx_profiles_email,16 kB,0,0,0,f,f,t,CREATE INDEX idx_profiles_email ON public.profiles USING btree (email) WHERE (email IS NOT NULL)
public,user_profiles,user_profiles_pkey,16 kB,20,7,7,t,t,t,CREATE UNIQUE INDEX user_profiles_pkey ON public.user_profiles USING btree (id)
public,restaurant_memberships,restaurant_memberships_pkey,16 kB,67,26,26,t,t,t,"CREATE UNIQUE INDEX restaurant_memberships_pkey ON public.restaurant_memberships USING btree (user_id, restaurant_id)"
public,restaurant_memberships,idx_memberships_restaurant,16 kB,0,0,0,f,f,t,CREATE INDEX idx_memberships_restaurant ON public.restaurant_memberships USING btree (restaurant_id)
public,restaurant_memberships,idx_memberships_user,16 kB,56,141,11,f,f,t,CREATE INDEX idx_memberships_user ON public.restaurant_memberships USING btree (user_id)
public,restaurants,restaurants_pkey,16 kB,347,347,347,t,t,t,CREATE UNIQUE INDEX restaurants_pkey ON public.restaurants USING btree (id)
public,restaurants,restaurants_slug_key,16 kB,0,0,0,f,t,t,CREATE UNIQUE INDEX restaurants_slug_key ON public.restaurants USING btree (slug)
public,restaurants,idx_restaurants_active,16 kB,0,0,0,f,f,t,CREATE INDEX idx_restaurants_active ON public.restaurants USING btree (is_active)
public,restaurants,idx_restaurants_slug,16 kB,0,0,0,f,f,t,CREATE INDEX idx_restaurants_slug ON public.restaurants USING btree (slug)
public,user_profiles,idx_user_profiles_phone,16 kB,0,0,0,f,f,t,CREATE INDEX idx_user_profiles_phone ON public.user_profiles USING btree (phone)
public,allowed_capacities,allowed_capacities_pkey,16 kB,0,0,0,t,t,t,"CREATE UNIQUE INDEX allowed_capacities_pkey ON public.allowed_capacities USING btree (restaurant_id, capacity)"
public,allowed_capacities,allowed_capacities_restaurant_idx,16 kB,82,81,81,f,f,t,"CREATE INDEX allowed_capacities_restaurant_idx ON public.allowed_capacities USING btree (restaurant_id, capacity)"
public,table_inventory,table_inventory_pkey,16 kB,1066,1066,1064,t,t,t,CREATE UNIQUE INDEX table_inventory_pkey ON public.table_inventory USING btree (id)
public,table_inventory,table_inventory_restaurant_id_table_number_key,16 kB,0,0,0,f,t,t,"CREATE UNIQUE INDEX table_inventory_restaurant_id_table_number_key ON public.table_inventory USING btree (restaurant_id, table_number)"
public,table_inventory,idx_table_inventory_lookup,16 kB,0,0,0,f,f,t,"CREATE INDEX idx_table_inventory_lookup ON public.table_inventory USING btree (restaurant_id, status, capacity)"
public,table_inventory,idx_table_inventory_section,16 kB,0,0,0,f,f,t,"CREATE INDEX idx_table_inventory_section ON public.table_inventory USING btree (restaurant_id, section)"
public,table_inventory,table_inventory_zone_idx,16 kB,0,0,0,f,f,t,CREATE INDEX table_inventory_zone_idx ON public.table_inventory USING btree (zone_id)
public,zones,zones_pkey,16 kB,81,81,81,t,t,t,CREATE UNIQUE INDEX zones_pkey ON public.zones USING btree (id)
public,zones,zones_restaurant_name_idx,16 kB,0,0,0,f,t,t,"CREATE UNIQUE INDEX zones_restaurant_name_idx ON public.zones USING btree (restaurant_id, lower(name))"
public,restaurant_operating_hours,restaurant_operating_hours_pkey,16 kB,0,0,0,t,t,t,CREATE UNIQUE INDEX restaurant_operating_hours_pkey ON public.restaurant_operating_hours USING btree (id)
public,restaurant_service_periods,restaurant_service_periods_pkey,16 kB,0,0,0,t,t,t,CREATE UNIQUE INDEX restaurant_service_periods_pkey ON public.restaurant_service_periods USING btree (id)
public,restaurant_operating_hours,idx_restaurant_operating_hours_scope,16 kB,0,0,0,f,f,t,"CREATE INDEX idx_restaurant_operating_hours_scope ON public.restaurant_operating_hours USING btree (restaurant_id, COALESCE((day_of_week)::integer, '-1'::integer), effective_date)"
public,table_merge_graph,idx_table_merge_graph_table_a,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_table_merge_graph_table_a ON public.table_merge_graph USING btree (table_a)
public,table_merge_graph,idx_table_merge_graph_table_b,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_table_merge_graph_table_b ON public.table_merge_graph USING btree (table_b)
public,allocations_archive,allocations_archive_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX allocations_archive_pkey ON public.allocations_archive USING btree (id)
public,allocations_archive,allocations_archive_booking_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX allocations_archive_booking_idx ON public.allocations_archive USING btree (booking_id)
public,allocations_archive,allocations_archive_restaurant_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX allocations_archive_restaurant_idx ON public.allocations_archive USING btree (restaurant_id)
public,_migrations,_migrations_name_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX _migrations_name_key ON public._migrations USING btree (name)
public,_migrations,_migrations_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX _migrations_pkey ON public._migrations USING btree (id)
public,booking_occasions_audit,booking_occasions_audit_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX booking_occasions_audit_pkey ON public.booking_occasions_audit USING btree (id)
public,booking_occasions_audit,booking_occasions_audit_key_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX booking_occasions_audit_key_idx ON public.booking_occasions_audit USING btree (occasion_key)
public,capacity_outbox,capacity_outbox_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX capacity_outbox_pkey ON public.capacity_outbox USING btree (id)
public,capacity_outbox,capacity_outbox_booking_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX capacity_outbox_booking_idx ON public.capacity_outbox USING btree (booking_id)
public,capacity_outbox,capacity_outbox_dedupe,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX capacity_outbox_dedupe ON public.capacity_outbox USING btree (event_type, COALESCE(dedupe_key, ''::text), COALESCE(idempotency_key, ''::text)) WHERE (status = ANY (ARRAY['pending'::text, 'processing'::text]))"
public,capacity_outbox,capacity_outbox_dispatch_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX capacity_outbox_dispatch_idx ON public.capacity_outbox USING btree (status, next_attempt_at)"
public,capacity_outbox,capacity_outbox_restaurant_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX capacity_outbox_restaurant_idx ON public.capacity_outbox USING btree (restaurant_id)
public,restaurant_turn_bands,restaurant_turn_bands_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX restaurant_turn_bands_pkey ON public.restaurant_turn_bands USING btree (id)
public,restaurant_turn_bands,restaurant_turn_bands_lookup_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX restaurant_turn_bands_lookup_idx ON public.restaurant_turn_bands USING btree (restaurant_id, booking_option, max_party_size)"
public,restaurant_turn_bands,restaurant_turn_bands_unique_idx,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX restaurant_turn_bands_unique_idx ON public.restaurant_turn_bands USING btree (restaurant_id, booking_option, max_party_size)"
public,leads,leads_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX leads_pkey ON public.leads USING btree (id)
public,observability_events,observability_events_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX observability_events_pkey ON public.observability_events USING btree (id)
public,observability_events,observability_events_created_at_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX observability_events_created_at_idx ON public.observability_events USING btree (created_at DESC)
public,service_policy,service_policy_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX service_policy_pkey ON public.service_policy USING btree (id)
public,merge_rules,merge_rules_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX merge_rules_pkey ON public.merge_rules USING btree (id)
public,merge_rules,merge_rules_from_to_idx,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX merge_rules_from_to_idx ON public.merge_rules USING btree (from_a, from_b, to_capacity)"
public,strategic_configs,strategic_configs_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX strategic_configs_pkey ON public.strategic_configs USING btree (id)
public,strategic_configs,strategic_configs_restaurant_id_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX strategic_configs_restaurant_id_key ON public.strategic_configs USING btree (restaurant_id)
public,strategic_configs,idx_strategic_configs_restaurant,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_strategic_configs_restaurant ON public.strategic_configs USING btree (restaurant_id)
public,booking_table_assignments,booking_table_assignments_booking_table_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX booking_table_assignments_booking_table_key ON public.booking_table_assignments USING btree (booking_id, table_id)"
public,booking_table_assignments,booking_table_assignments_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX booking_table_assignments_pkey ON public.booking_table_assignments USING btree (id)
public,booking_table_assignments,booking_table_assignments_table_id_slot_id_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX booking_table_assignments_table_id_slot_id_key ON public.booking_table_assignments USING btree (table_id, slot_id)"
public,booking_table_assignments,booking_table_assignments_merge_group_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX booking_table_assignments_merge_group_idx ON public.booking_table_assignments USING btree (merge_group_id)
public,booking_table_assignments,bta_booking_id_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX bta_booking_id_idx ON public.booking_table_assignments USING btree (booking_id)
public,booking_table_assignments,bta_table_id_idx,8192 bytes,0,0,0,f,f,t,CREATE INDEX bta_table_id_idx ON public.booking_table_assignments USING btree (table_id)
public,booking_table_assignments,bta_window_gist,8192 bytes,0,0,0,f,f,t,CREATE INDEX bta_window_gist ON public.booking_table_assignments USING gist (assignment_window)
public,booking_table_assignments,idx_booking_table_assignments_booking,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_booking_table_assignments_booking ON public.booking_table_assignments USING btree (booking_id)
public,booking_table_assignments,idx_booking_table_assignments_booking_id,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_booking_table_assignments_booking_id ON public.booking_table_assignments USING btree (booking_id)
public,booking_table_assignments,idx_booking_table_assignments_slot,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_booking_table_assignments_slot ON public.booking_table_assignments USING btree (slot_id)
public,booking_table_assignments,idx_booking_table_assignments_table,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_booking_table_assignments_table ON public.booking_table_assignments USING btree (table_id, assigned_at)"
public,booking_table_assignments,idx_bta_booking_end,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_bta_booking_end ON public.booking_table_assignments USING btree (booking_id, end_at)"
public,booking_table_assignments,idx_bta_booking_start,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_bta_booking_start ON public.booking_table_assignments USING btree (booking_id, start_at)"
public,allocations,allocations_booking_resource_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX allocations_booking_resource_key ON public.allocations USING btree (booking_id, resource_type, resource_id)"
public,allocations,allocations_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX allocations_pkey ON public.allocations USING btree (id)
public,allocations,idx_allocations_restaurant,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_allocations_restaurant ON public.allocations USING btree (restaurant_id)
public,allocations,idx_allocations_window_gist,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_allocations_window_gist ON public.allocations USING gist (""window"")"
public,analytics_events,analytics_events_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX analytics_events_pkey ON public.analytics_events USING btree (id)
public,analytics_events,idx_analytics_events_booking_id,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_analytics_events_booking_id ON public.analytics_events USING btree (booking_id)
public,analytics_events,idx_analytics_events_customer_id,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_analytics_events_customer_id ON public.analytics_events USING btree (customer_id) WHERE (customer_id IS NOT NULL)
public,analytics_events,idx_analytics_events_event_type,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_analytics_events_event_type ON public.analytics_events USING btree (event_type)
public,analytics_events,idx_analytics_events_occurred_at,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_analytics_events_occurred_at ON public.analytics_events USING btree (occurred_at DESC)
public,analytics_events,idx_analytics_events_restaurant_id,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_analytics_events_restaurant_id ON public.analytics_events USING btree (restaurant_id)
public,analytics_events,idx_analytics_events_restaurant_occurred,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_analytics_events_restaurant_occurred ON public.analytics_events USING btree (restaurant_id, occurred_at DESC)"
public,booking_slots,booking_slots_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX booking_slots_pkey ON public.booking_slots USING btree (id)
public,booking_slots,booking_slots_restaurant_slot_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX booking_slots_restaurant_slot_key ON public.booking_slots USING btree (restaurant_id, slot_date, slot_time)"
public,booking_slots,idx_booking_slots_date_range,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_booking_slots_date_range ON public.booking_slots USING btree (restaurant_id, slot_date)"
public,booking_slots,idx_booking_slots_lookup,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_booking_slots_lookup ON public.booking_slots USING btree (restaurant_id, slot_date, slot_time)"
public,booking_slots,idx_booking_slots_service_period,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_booking_slots_service_period ON public.booking_slots USING btree (service_period_id, slot_date)"
public,bookings,bookings_confirmation_token_unique,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX bookings_confirmation_token_unique ON public.bookings USING btree (confirmation_token)
public,bookings,bookings_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX bookings_pkey ON public.bookings USING btree (id)
public,bookings,bookings_reference_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX bookings_reference_key ON public.bookings USING btree (reference)
public,bookings,bookings_restaurant_date_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX bookings_restaurant_date_idx ON public.bookings USING btree (restaurant_id, booking_date, start_at)"
public,bookings,bookings_restaurant_date_status_idx,8192 bytes,0,0,0,f,f,t,"CREATE INDEX bookings_restaurant_date_status_idx ON public.bookings USING btree (restaurant_id, booking_date, status)"
public,bookings,idx_bookings_auth_user,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_auth_user ON public.bookings USING btree (auth_user_id) WHERE (auth_user_id IS NOT NULL)
public,bookings,idx_bookings_auto_assign_idempotency_key,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_auto_assign_idempotency_key ON public.bookings USING btree (auto_assign_idempotency_key) WHERE (auto_assign_idempotency_key IS NOT NULL)
public,bookings,idx_bookings_client_request_id,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_client_request_id ON public.bookings USING btree (client_request_id)
public,bookings,idx_bookings_confirmation_token,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_confirmation_token ON public.bookings USING btree (confirmation_token) WHERE (confirmation_token IS NOT NULL)
public,bookings,idx_bookings_created,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_bookings_created ON public.bookings USING btree (restaurant_id, created_at DESC)"
public,bookings,idx_bookings_customer,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_customer ON public.bookings USING btree (customer_id)
public,bookings,idx_bookings_date,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_bookings_date ON public.bookings USING btree (restaurant_id, booking_date)"
public,bookings,idx_bookings_datetime,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_bookings_datetime ON public.bookings USING btree (restaurant_id, start_at, end_at)"
public,bookings,idx_bookings_idempotency_key,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_bookings_idempotency_key ON public.bookings USING btree (idempotency_key) WHERE (idempotency_key IS NOT NULL)
