name,setting,unit,source
auto_explain.log_analyze,off,,default
auto_explain.log_buffers,off,,default
auto_explain.log_format,text,,default
auto_explain.log_level,log,,default
auto_explain.log_min_duration,10000,ms,configuration file
auto_explain.log_nested_statements,off,,default
auto_explain.log_parameter_max_length,-1,B,default
auto_explain.log_settings,off,,default
auto_explain.log_timing,on,,default
auto_explain.log_triggers,off,,default
auto_explain.log_verbose,off,,default
auto_explain.log_wal,off,,default
auto_explain.sample_rate,1,,default
pg_stat_statements.max,5000,,default
pg_stat_statements.save,on,,default
pg_stat_statements.track,top,,default
pg_stat_statements.track_planning,off,,default
pg_stat_statements.track_utility,on,,default
pgaudit.log,none,,default
pgaudit.log_catalog,on,,default
pgaudit.log_client,off,,default
pgaudit.log_level,log,,default
pgaudit.log_parameter,off,,default
pgaudit.log_parameter_max_size,0,,default
pgaudit.log_relation,off,,default
pgaudit.log_rows,off,,default
pgaudit.log_statement,on,,default
pgaudit.log_statement_once,off,,default
pgaudit.role,,,default
