queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-8266875133769530555,12212,44357.53,3.63,27.48,0,15752592,0,0,0,0,"SELECT wal->>$5 as type, wal->>$6 as schema, wal->>$7 as table, COALESCE(wal->>$8, $9) as columns, COALESCE(wal->>$10, $11) as record, COALESCE(wal->>$12, $13) as old_record, wal->>$14 as commit_timestamp, subscription_ids, errors FROM real"
-803669021344718684,160,1.53,0.01,0.04,160,0,0,0,0,0,"SELECT current_setting($1)::integer, current_setting($2), version()"
-6237619394974271669,160,78.49,0.49,0.73,0,57280,0,0,0,0,"SELECT c.castsource::regtype::text, c.casttarget::regtype::text, c.castfunc::regproc::text FROM pg_catalog.pg_cast c JOIN pg_catalog.pg_type src_t ON c.castsource::oid = src_t.oid JOIN pg_catalog.pg_type dst_t ON c.casttarget::oid = dst_t.o"
-7726440967385220442,160,12651.82,79.07,2700.24,191040,0,0,0,0,0,SELECT name FROM pg_timezone_names
5061829208393339328,109,2.69,0.02,0.06,109,218,0,0,0,0,"SELECT identities.created_at, identities.email, identities.id, identities.identity_data, identities.last_sign_in_at, identities.provider, identities.provider_id, identities.updated_at, identities.user_id FROM identities AS identities WHERE "
-1632729103947873238,109,1.00,0.01,0.03,0,218,0,0,0,0,"SELECT mfa_factors.created_at, mfa_factors.factor_type, mfa_factors.friendly_name, mfa_factors.id, mfa_factors.last_challenged_at, mfa_factors.last_webauthn_challenge_data, mfa_factors.phone, mfa_factors.secret, mfa_factors.status, mfa_fact"
-2274209716896360439,96,2.21,0.02,0.07,96,237,0,0,0,0,"SELECT sessions.aal, sessions.created_at, sessions.factor_id, sessions.id, sessions.ip, sessions.not_after, sessions.oauth_client_id, sessions.refresh_token_counter, sessions.refresh_token_hmac_key, sessions.refreshed_at, sessions.scopes, s"
4428565640175106611,96,1.58,0.02,0.05,96,192,0,0,0,0,"SELECT mfa_amr_claims.authentication_method, mfa_amr_claims.created_at, mfa_amr_claims.id, mfa_amr_claims.session_id, mfa_amr_claims.updated_at FROM mfa_amr_claims AS mfa_amr_claims WHERE session_id = $1"
-902132887822798486,95,3.70,0.04,0.29,95,149,0,0,0,104,"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_"
1689837619145390454,92,33.04,0.36,9.44,92,1072,0,0,0,0,SELECT * FROM pgbouncer.get_auth($1)
