queryid,calls,total_ms,mean_ms,max_ms,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,wal_bytes,query_sample
-7726440967385220442,160,12651.82,79.07,2700.24,191040,0,0,0,0,0,SELECT name FROM pg_timezone_names
4868794970434878014,1,75.57,75.57,75.57,1,0,0,0,0,24,"SELECT case when pg_is_in_recovery() then $2 else (pg_walfile_name_offset(lsn)).file_name end, lsn::text, pg_is_in_recovery() FROM pg_backup_start($1, $3) lsn"
1528135177584734550,5,307.07,61.41,289.17,390,35,0,0,0,0,"SELECT e.name, n.nspname AS schema, e.default_version, x.extversion AS installed_version, e.comment FROM pg_available_extensions() e(name, default_version, comment) LEFT JOIN pg_extension x ON e.name = x.extname LEFT JOIN pg_namespace n ON "
-7636120669495855217,1,27.67,27.67,27.67,1,0,0,0,0,58,"SELECT labelfile, spcmapfile, lsn FROM pg_backup_stop($1)"
8155291966402198186,2,43.73,21.87,25.98,2,0,0,0,0,100,"select case when not exists ( select $2 from pg_replication_slots where slot_name = $1 ) then ( select $3 from pg_create_logical_replication_slot($1, $4, $5) ) else $6 end"
-4750849476906528373,1,14.16,14.16,14.16,30,5317,0,0,0,0,"select n.nspname as schema, c.relname as table, c.reltuples::bigint as est_rows, pg_size_pretty(pg_total_relation_size(c.oid)) as total_size, pg_size_pretty(pg_relation_size(c.oid)) as table_size, pg_size_pretty(pg_indexes_size(c.oid)) as i"
8487862576617930575,7,94.61,13.52,30.08,7,12391,39,0,0,21002,"DELETE FROM ""users"" AS users WHERE users.id = $1"
-1720764314978235132,3,37.48,12.49,12.89,260,18754,0,0,0,0,"SELECT tbl.schemaname, tbl.tablename, tbl.quoted_name, tbl.is_table, json_agg(a) as columns FROM ( SELECT n.nspname as schemaname, c.relname as tablename, (quote_ident(n.nspname) || $1 || quote_ident(c.relname)) as quoted_name, $2 as is_tab"
-6893076640696223925,1,10.28,10.28,10.28,102,1582,0,0,0,0,"SELECT pol.oid :: int8 AS id, n.nspname AS schema, c.relname AS table, c.oid :: int8 AS table_id, pol.polname AS name, CASE WHEN pol.polpermissive THEN $1 :: text ELSE $2 :: text END AS action, CASE WHEN pol.polroles = $3 :: oid [] THEN arr"
8580411586163530256,7,36.11,5.16,6.81,1627,18531,0,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
8580411586163530256,3,14.92,4.97,5.02,699,7942,1,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
-8266875133769530555,12212,44357.53,3.63,27.48,0,15752592,0,0,0,0,"SELECT wal->>$5 as type, wal->>$6 as schema, wal->>$7 as table, COALESCE(wal->>$8, $9) as columns, COALESCE(wal->>$10, $11) as record, COALESCE(wal->>$12, $13) as old_record, wal->>$14 as commit_timestamp, subscription_ids, errors FROM real"
5156235115104350202,1,3.13,3.13,3.13,1,4,0,0,0,0,"select pg_database_size(current_database()) as bytes, pg_size_pretty(pg_database_size(current_database())) as pretty"
-5070840527365610051,1,2.35,2.35,2.35,7,5,0,0,0,0,"select r.slug, rm.role, count(*) as members from public.restaurant_memberships rm join public.restaurants r on r.id=rm.restaurant_id group by r.slug, rm.role order by r.slug, rm.role"
5403545826905200090,1,2.14,2.14,2.14,4,13,0,0,0,0,"select rm.user_id, rm.role, r.slug from public.restaurant_memberships rm join public.restaurants r on r.id = rm.restaurant_id where rm.user_id = $1 order by r.slug"
-121405077930479355,1,1.31,1.31,1.31,30,21,0,0,0,0,"select name, setting, unit, source from pg_settings where name in ( $1,$2, $3,$4, $5,$6,$7,$8,$9, $10,$11,$12, $13,$14,$15,$16, $17,$18, $19,$20,$21, $22,$23,$24, $25,$26, $27,$28, $29,$30 ) order by name"
4066746847679673467,1,1.02,1.02,1.02,5,173,0,0,0,0,"SELECT schemaname, tablename FROM pg_publication_tables WHERE pubname = $1"
-8789528950430113317,11,9.77,0.89,5.84,11,1037,8,0,0,21719,"INSERT INTO ""refresh_tokens"" (""created_at"", ""instance_id"", ""parent"", ""revoked"", ""session_id"", ""token"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8) returning id"
-6475819598641688648,2,1.67,0.84,0.84,2,376,0,0,0,0,"SELECT pg_catalog.obj_description($1::regnamespace, $2)"
9139383688474518245,11,8.55,0.78,3.98,11,730,5,0,0,28722,"INSERT INTO ""sessions"" (""aal"", ""created_at"", ""factor_id"", ""id"", ""ip"", ""not_after"", ""oauth_client_id"", ""refresh_token_counter"", ""refresh_token_hmac_key"", ""refreshed_at"", ""scopes"", ""tag"", ""updated_at"", ""user_agent"", ""user_id"") VALUES ($1, $2,"
1384834654294484084,1,0.74,0.74,0.74,4,203,0,0,0,0,"select column_name, column_default from information_schema.columns where table_schema=$1 and table_name=$2 order by ordinal_position"
-4113997655907444991,1,0.65,0.65,0.65,30,241,0,0,0,0,"select schemaname, relname as table, n_live_tup, n_dead_tup, round($1 * n_dead_tup / nullif(n_live_tup + n_dead_tup, $2), $3) as dead_tuple_pct, last_vacuum, last_autovacuum, last_analyze, last_autoanalyze from pg_stat_user_tables where sch"
5820629349570850764,1,0.65,0.65,0.65,7,0,1,0,0,0,select * from schema_migrations
2349365507609711936,2,1.07,0.54,0.55,364,66,0,0,0,0,"select t.oid, case when nsp.nspname in ($1, $2) then t.typname else nsp.nspname||$3||t.typname end from pg_type t left join pg_type base_type on t.typelem=base_type.oid left join pg_class base_cls ON base_type.typrelid = base_cls.oid left j"
8544740146418156004,3,1.52,0.51,0.87,19,351,0,0,0,0,"select column_name, data_type, is_nullable from information_schema.columns where table_schema=$1 and table_name=$2 order by ordinal_position"
-6237619394974271669,160,78.49,0.49,0.73,0,57280,0,0,0,0,"SELECT c.castsource::regtype::text, c.casttarget::regtype::text, c.castfunc::regproc::text FROM pg_catalog.pg_cast c JOIN pg_catalog.pg_type src_t ON c.castsource::oid = src_t.oid JOIN pg_catalog.pg_type dst_t ON c.casttarget::oid = dst_t.o"
-8515325835882590037,1,0.46,0.46,0.46,8,35,0,0,0,0,"select n.nspname as schema, count(*) filter (where c.relkind in ($1,$2)) as tables, count(*) filter (where c.relkind = $3) as indexes, count(*) filter (where c.relkind = $4) as matviews, count(*) filter (where c.relkind = $5) as views from "
-1927268629892347952,1,0.45,0.45,0.45,24,131,0,0,0,0,"SELECT concat(table_schema, $1, table_name) as table FROM information_schema.tables WHERE table_schema not like $2 and table_schema <> $3 ORDER BY 1 desc LIMIT $4"
-2529344982873805810,3,1.27,0.42,1.01,3,0,0,0,0,0,SELECT EXISTS ( SELECT $1 FROM pg_locks WHERE locktype = $2 AND (classid::bigint << $3 | objid::bigint) = hashtext($4)::bigint ) as is_in_progress
-5027817292150346595,12,4.84,0.40,1.84,12,216,0,0,0,16358,"INSERT INTO ""identities"" (""created_at"", ""id"", ""identity_data"", ""last_sign_in_at"", ""provider"", ""provider_id"", ""updated_at"", ""user_id"") VALUES ($1, $2, $3, $4, $5, $6, $7, $8)"
-7212971466811909104,3,1.09,0.36,0.38,1473,0,0,0,0,0,SELECT word FROM pg_get_keywords()
1689837619145390454,92,33.04,0.36,9.44,92,1072,0,0,0,0,SELECT * FROM pgbouncer.get_auth($1)
3341600687092967118,11,3.62,0.33,1.61,11,233,2,0,0,9059,"INSERT INTO mfa_amr_claims(id, session_id, created_at, updated_at, authentication_method) values ($1, $2, $3, $4, $5) ON CONFLICT ON CONSTRAINT mfa_amr_claims_session_id_authentication_method_pkey DO UPDATE SET updated_at = $6"
-5643122554370341715,12,3.72,0.31,1.28,12,390,0,0,0,18150,"INSERT INTO ""users"" (""aud"", ""banned_until"", ""confirmation_sent_at"", ""confirmation_token"", ""created_at"", ""deleted_at"", ""email"", ""email_change"", ""email_change_confirm_status"", ""email_change_sent_at"", ""email_change_token_current"", ""email_chang"
-1716421701957738214,1,0.28,0.28,0.28,16,100,0,0,0,0,"SELECT concat(conrelid::regclass, $1, conname) as fk FROM pg_constraint WHERE contype = $2 ORDER BY 1 desc LIMIT $3"
6192885090670524028,2,0.41,0.20,0.20,18,64,0,0,0,0,"select t.oid, t.typname from pg_type t join pg_type base_type on t.typelem=base_type.oid where t.typtype = $1 and base_type.typtype = $2"
-7146129706064563790,3,0.59,0.20,0.20,4,58,0,0,0,0,"select pid, query, query_start from pg_stat_activity where state = $1 and datname = $2"
-1928407231087009287,1,0.15,0.15,0.15,4,37,0,0,0,0,"select table_name from information_schema.tables where table_schema=$1 and table_name in ($2,$3,$4,$5) order by table_name"
426095097594445136,12,1.74,0.14,0.80,12,177,0,0,0,3980,"UPDATE ""users"" AS users SET ""role"" = $1, ""updated_at"" = $2 WHERE users.id = $3"
4762134411122352677,24,3.43,0.14,2.30,0,105,3,0,0,0,"select schemaname, tablename, format($2, schemaname, tablename)::regclass as oid from pg_publication_tables where pubname = $1"
6632273848417520935,2,0.27,0.14,0.15,10,94,0,0,0,0,"select t.oid, t.typname, t.typbasetype from pg_type t join pg_type base_type on t.typbasetype=base_type.oid where t.typtype = $1 and base_type.typtype = $2"
8721942457385607759,4,0.53,0.13,0.15,4,136,0,0,0,0,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput, coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY ( SELECT a.atttypid FROM pg_attribute AS a WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT "
6294902898075702319,2,0.26,0.13,0.14,0,36,0,0,0,0,"select t.oid, t.typname from pg_type t join pg_class cls on t.typrelid=cls.oid where t.typtype = $1 and cls.relkind=$2"
-8858865525908234792,10,1.06,0.11,0.14,10,0,0,0,0,0,"SELECT version(), current_setting($1) :: int8 AS version_number, ( SELECT COUNT(*) AS active_connections FROM pg_stat_activity ) AS active_connections, current_setting($2) :: int8 AS max_connections"
1322086637474572806,11,1.13,0.10,0.21,11,189,0,0,0,4299,"UPDATE ""users"" AS users SET ""last_sign_in_at"" = $1, ""updated_at"" = $2 WHERE users.id = $3"
1469386025731504192,2,0.20,0.10,0.11,2,20,0,0,0,58,"select has_function_privilege($1, $2, $3)"
-1156093235478552260,1,0.10,0.10,0.10,1,7,0,0,0,0,"select auth.users.id, auth.users.email, auth.users.banned_until, auth.users.created_at, auth.users.confirmed_at, auth.users.confirmation_sent_at, auth.users.is_anonymous, auth.users.is_sso_user, auth.users.invited_at, auth.users.last_sign_i"
6894745749308775317,2,0.19,0.10,0.10,2,0,0,0,0,0,select (current_setting($1)::int - count(*))::int from pg_stat_activity where application_name != $2
-7394927397977518952,1,0.09,0.09,0.09,1,1,0,0,0,0,"select numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted, conflicts, deadlocks, temp_files, temp_bytes, blk_read_time, blk_write_time, stats_reset from pg_stat_da"
-4387738602770036891,13,0.99,0.08,0.27,13,117,0,0,0,4685,"UPDATE ""users"" AS users SET ""confirmation_token"" = $1, ""email_confirmed_at"" = $2, ""updated_at"" = $3 WHERE users.id = $4"
