schema,table_name,pk_constraints,unique_constraints,fk_constraints,check_constraints
public,booking_table_assignments,1,2,6,0
public,table_holds,1,0,5,2
public,bookings,1,2,4,4
public,manual_assignment_sessions,1,1,4,0
public,table_inventory,1,1,3,2
public,allocations,1,1,3,1
public,analytics_events,1,0,3,0
public,loyalty_point_events,1,0,3,0
public,table_hold_windows,1,0,3,0
public,customers,1,3,2,2
public,booking_slots,1,1,2,2
public,email_delivery_log,1,1,2,1
public,booking_confirmation_results,1,1,2,0
public,loyalty_points,1,1,2,0
public,strategic_configs,1,1,2,0
public,table_hold_members,1,1,2,0
public,restaurant_capacity_rules,1,0,2,2
public,restaurant_invites,1,0,2,2
public,restaurant_turn_bands,1,0,2,2
public,restaurant_service_periods,1,0,2,1
public,table_adjacencies,1,0,2,1
public,booking_assignment_idempotency,1,0,2,0
public,booking_state_history,1,0,2,0
public,booking_versions,1,0,2,0
public,table_scarcity_metrics,1,1,1,1
public,loyalty_programs,1,1,1,0
public,demand_profiles,1,0,1,6
public,customer_profiles,1,0,1,3
public,restaurant_operating_hours,1,0,1,2
public,allowed_capacities,1,0,1,1
public,profiles,1,0,1,1
public,restaurant_memberships,1,0,1,1
public,user_profiles,1,0,1,1
public,waiting_list,1,0,1,1
public,zones,1,0,1,1
public,booking_assignment_attempts,1,0,1,0
public,profile_update_requests,1,0,1,0
public,restaurants,1,1,0,5
public,_migrations,1,1,0,0
public,feature_flag_overrides,1,1,0,0
public,allocations_archive,1,0,0,1
public,booking_occasions,1,0,0,1
public,capacity_outbox,1,0,0,1
public,merge_rules,1,0,0,1
public,observability_events,1,0,0,1
public,audit_logs,1,0,0,0
public,booking_occasions_audit,1,0,0,0
public,leads,1,0,0,0
public,service_policy,1,0,0,0
public,table_merge_graph,0,0,0,0
