table_name,col_count,jsonb_cols,text_cols,varchar_cols,uuid_cols,timestamptz_cols,nullable_cols,rls_enabled,policy_count,has_pk
bookings,37,2,12,1,5,8,16,t,5,t
restaurants,23,1,10,0,1,2,10,t,7,t
manual_assignment_sessions,20,1,9,0,5,3,13,t,1,t
table_inventory,17,1,3,0,3,2,4,t,2,t
booking_table_assignments,15,0,2,0,7,5,9,t,5,t
booking_occasions,14,1,4,0,2,3,4,t,1,t
email_delivery_log,14,1,8,0,3,2,8,t,0,t
table_holds,14,1,0,0,6,6,4,t,2,t
customers,13,0,6,0,4,2,5,t,5,t
restaurant_invites,13,0,5,0,3,5,4,t,1,t
allocations_archive,12,0,1,0,5,3,2,t,1,t
capacity_outbox,12,1,4,0,3,3,5,t,1,t
restaurant_capacity_rules,12,0,2,0,3,2,8,t,2,t
restaurant_operating_hours,12,0,1,0,2,2,7,t,2,t
waiting_list,12,0,4,0,2,2,2,t,2,t
allocations,11,0,1,0,5,2,2,t,4,t
customer_profiles,11,1,1,0,1,4,4,t,1,t
analytics_events,10,1,2,0,4,2,1,t,2,t
booking_slots,10,0,0,0,3,2,1,t,2,t
demand_profiles,10,0,1,0,2,2,3,t,2,t
merge_rules,10,0,0,0,1,2,0,t,1,t
booking_assignment_idempotency,9,0,3,0,2,2,3,t,2,t
booking_confirmation_results,9,1,1,0,4,1,1,t,1,t
booking_versions,9,2,1,0,3,2,3,t,2,t
loyalty_point_events,9,1,1,0,4,1,2,t,1,t
loyalty_programs,9,2,1,0,2,2,0,t,1,t
restaurant_service_periods,9,0,2,0,2,2,1,t,2,t
service_policy,9,0,0,0,1,2,0,t,2,t
booking_assignment_attempts,8,1,3,0,2,1,1,t,2,t
booking_state_history,8,1,1,0,2,1,3,t,2,t
observability_events,8,1,3,0,3,1,3,t,1,t
profiles,8,0,4,0,1,2,4,t,4,t
strategic_configs,8,0,0,0,3,2,4,t,2,t
table_hold_windows,8,0,0,0,4,3,2,t,1,t
table_merge_graph,8,0,2,0,3,0,3,t,2,f
audit_logs,7,1,4,0,1,1,2,t,2,t
booking_occasions_audit,7,2,2,0,2,1,3,t,1,t
feature_flag_overrides,7,1,2,0,2,1,2,t,1,t
loyalty_points,7,0,0,0,3,2,0,t,1,t
restaurant_turn_bands,7,0,1,0,2,2,0,t,2,t
user_profiles,7,0,2,0,1,2,2,t,3,t
zones,7,0,1,0,2,2,0,t,2,t
profile_update_requests,5,0,2,0,2,1,0,t,4,t
table_scarcity_metrics,5,0,1,0,2,1,0,t,2,t
_migrations,4,0,0,2,0,1,2,t,1,t
allowed_capacities,4,0,0,0,1,2,0,t,2,t
restaurant_memberships,4,0,1,0,2,1,0,t,1,t
table_hold_members,4,0,0,0,3,1,0,t,2,t
leads,3,0,1,0,1,1,0,t,2,t
table_adjacencies,3,0,0,0,2,1,0,t,2,t
