schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,_migrations,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,allocations,Staff can view allocations for their restaurants,PERMISSIVE,{authenticated},SELECT,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,allocations,Tenant service role can manage allocations,PERMISSIVE,{service_role},ALL,(restaurant_id = require_restaurant_context()),(restaurant_id = require_restaurant_context())
public,allocations,authenticated_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = allocations.restaurant_id) AND (rm.user_id = auth.uid()))))",
public,allocations,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,allocations_archive,Tenant service role can manage allocations archive,PERMISSIVE,{service_role},ALL,(restaurant_id = require_restaurant_context()),(restaurant_id = require_restaurant_context())
public,allowed_capacities,Service role can manage allowed capacities,PERMISSIVE,{service_role},ALL,true,true
public,allowed_capacities,Staff can manage allowed capacities,PERMISSIVE,{authenticated},ALL,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,analytics_events,Restaurant staff can view analytics,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = analytics_events.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))",
public,analytics_events,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,audit_logs,Service role can manage audit logs,PERMISSIVE,{public},ALL,true,true
public,audit_logs,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_assignment_attempts,authenticated_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_assignment_attempts.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))",
public,booking_assignment_attempts,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_assignment_idempotency,Service role full access to booking_assignment_idempotency,PERMISSIVE,{public},ALL,true,true
public,booking_assignment_idempotency,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_confirmation_results,Tenant service role can manage booking confirmation results,PERMISSIVE,{service_role},ALL,(restaurant_id = require_restaurant_context()),(restaurant_id = require_restaurant_context())
public,booking_occasions,Allow public read access to booking_occasions,PERMISSIVE,{public},SELECT,true,
public,booking_occasions_audit,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_slots,Service role can manage booking slots,PERMISSIVE,{service_role},ALL,true,true
public,booking_slots,Staff can manage booking slots,PERMISSIVE,{public},ALL,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,booking_state_history,authenticated_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_state_history.booking_id) AND (rm.user_id = auth.uid()))))",
public,booking_state_history,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_table_assignments,Customers can view their table assignments,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM bookings b
  WHERE ((b.id = booking_table_assignments.booking_id) AND (b.auth_user_id = ( SELECT auth.uid() AS uid)))))",
public,booking_table_assignments,Staff can manage table assignments,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))","(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))"
public,booking_table_assignments,Tenant service role can manage table assignments,PERMISSIVE,{service_role},ALL,"(EXISTS ( SELECT 1
   FROM bookings b
  WHERE ((b.id = booking_table_assignments.booking_id) AND (b.restaurant_id = require_restaurant_context()))))","(EXISTS ( SELECT 1
   FROM bookings b
  WHERE ((b.id = booking_table_assignments.booking_id) AND (b.restaurant_id = require_restaurant_context()))))"
public,booking_table_assignments,authenticated_select,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = auth.uid()))))",
public,booking_table_assignments,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,booking_versions,Restaurant members can view booking versions,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = booking_versions.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))",
public,booking_versions,service_role_all,PERMISSIVE,{service_role},ALL,true,true
public,bookings,Admins and owners can delete bookings,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = bookings.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text])))))",
public,bookings,Staff can create bookings,PERMISSIVE,{public},INSERT,,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,bookings,Staff can update bookings,PERMISSIVE,{public},UPDATE,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,bookings,Staff can view bookings,PERMISSIVE,{public},SELECT,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,bookings,Tenant service role can manage bookings,PERMISSIVE,{service_role},ALL,(restaurant_id = require_restaurant_context()),(restaurant_id = require_restaurant_context())
public,capacity_outbox,Tenant service role can manage capacity outbox,PERMISSIVE,{service_role},ALL,(restaurant_id = require_restaurant_context()),(restaurant_id = require_restaurant_context())
public,customer_profiles,Staff can view customer profiles,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM customers c
  WHERE ((c.id = customer_profiles.customer_id) AND (c.restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)))))",
public,customers,Admins and owners can delete customers,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = customers.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text])))))",
public,customers,Staff can create customers,PERMISSIVE,{public},INSERT,,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,customers,Staff can update customers,PERMISSIVE,{public},UPDATE,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,customers,Staff can view customers,PERMISSIVE,{public},SELECT,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
