schemaname,tablename,policyname,cmd,roles,permissive,qual,with_check
public,analytics_events,Restaurant staff can view analytics,SELECT,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = analytics_events.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))",
public,audit_logs,Service role can manage audit logs,ALL,{public},PERMISSIVE,true,true
public,booking_assignment_idempotency,Service role full access to booking_assignment_idempotency,ALL,{public},PERMISSIVE,true,true
public,booking_occasions,Allow public read access to booking_occasions,SELECT,{public},PERMISSIVE,true,
public,booking_slots,Staff can manage booking slots,ALL,{public},PERMISSIVE,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,booking_table_assignments,Customers can view their table assignments,SELECT,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM bookings b
  WHERE ((b.id = booking_table_assignments.booking_id) AND (b.auth_user_id = ( SELECT auth.uid() AS uid)))))",
public,booking_table_assignments,Staff can manage table assignments,ALL,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))","(EXISTS ( SELECT 1
   FROM (bookings b
     JOIN restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))"
public,booking_versions,Restaurant members can view booking versions,SELECT,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = booking_versions.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)))))",
public,bookings,Admins and owners can delete bookings,DELETE,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = bookings.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text])))))",
public,bookings,Staff can create bookings,INSERT,{public},PERMISSIVE,,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
public,bookings,Staff can update bookings,UPDATE,{public},PERMISSIVE,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,bookings,Staff can view bookings,SELECT,{public},PERMISSIVE,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)),
public,customer_profiles,Staff can view customer profiles,SELECT,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM customers c
  WHERE ((c.id = customer_profiles.customer_id) AND (c.restaurant_id IN ( SELECT user_restaurants() AS user_restaurants)))))",
public,customers,Admins and owners can delete customers,DELETE,{public},PERMISSIVE,"(EXISTS ( SELECT 1
   FROM restaurant_memberships rm
  WHERE ((rm.restaurant_id = customers.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text])))))",
public,customers,Staff can create customers,INSERT,{public},PERMISSIVE,,(restaurant_id IN ( SELECT user_restaurants() AS user_restaurants))
