rolname,rolsuper,rolinherit,rolcreaterole,rolcreatedb,rolcanlogin,rolreplication,rolbypassrls
anon,f,t,f,f,f,f,f
authenticated,f,t,f,f,f,f,f
authenticator,f,f,f,f,t,f,f
dashboard_user,f,t,t,t,f,t,f
pg_checkpoint,f,t,f,f,f,f,f
pg_create_subscription,f,t,f,f,f,f,f
pg_database_owner,f,t,f,f,f,f,f
pg_execute_server_program,f,t,f,f,f,f,f
pg_maintain,f,t,f,f,f,f,f
pg_monitor,f,t,f,f,f,f,f
pg_read_all_data,f,t,f,f,f,f,f
pg_read_all_settings,f,t,f,f,f,f,f
pg_read_all_stats,f,t,f,f,f,f,f
pg_read_server_files,f,t,f,f,f,f,f
pg_signal_backend,f,t,f,f,f,f,f
pg_stat_scan_tables,f,t,f,f,f,f,f
pg_use_reserved_connections,f,t,f,f,f,f,f
pg_write_all_data,f,t,f,f,f,f,f
pg_write_server_files,f,t,f,f,f,f,f
pgbouncer,f,t,f,f,t,f,f
postgres,f,t,t,t,t,t,t
service_role,f,t,f,f,f,f,t
supabase_admin,t,t,t,t,t,t,t
supabase_auth_admin,f,f,t,f,t,f,f
supabase_etl_admin,f,t,f,f,t,t,t
supabase_read_only_user,f,t,f,f,t,f,t
supabase_realtime_admin,f,f,f,f,f,f,f
supabase_replication_admin,f,t,f,f,t,t,f
supabase_storage_admin,f,f,t,f,t,f,f
