table_schema,table_name,grantee,privilege_type
public,_migrations,anon,DELETE
public,_migrations,anon,INSERT
public,_migrations,anon,REFERENCES
public,_migrations,anon,SELECT
public,_migrations,anon,TRIGGER
public,_migrations,anon,TRUNCATE
public,_migrations,anon,UPDATE
public,_migrations,authenticated,DELETE
public,_migrations,authenticated,INSERT
public,_migrations,authenticated,REFERENCES
public,_migrations,authenticated,SELECT
public,_migrations,authenticated,TRIGGER
public,_migrations,authenticated,TRUNCATE
public,_migrations,authenticated,UPDATE
public,_migrations,postgres,DELETE
public,_migrations,postgres,INSERT
public,_migrations,postgres,REFERENCES
public,_migrations,postgres,SELECT
public,_migrations,postgres,TRIGGER
public,_migrations,postgres,TRUNCATE
public,_migrations,postgres,UPDATE
public,_migrations,service_role,DELETE
public,_migrations,service_role,INSERT
public,_migrations,service_role,REFERENCES
public,_migrations,service_role,SELECT
public,_migrations,service_role,TRIGGER
public,_migrations,service_role,TRUNCATE
public,_migrations,service_role,UPDATE
public,allocations,anon,DELETE
public,allocations,anon,INSERT
public,allocations,anon,REFERENCES
public,allocations,anon,SELECT
public,allocations,anon,TRIGGER
public,allocations,anon,TRUNCATE
public,allocations,anon,UPDATE
public,allocations,authenticated,DELETE
public,allocations,authenticated,INSERT
public,allocations,authenticated,REFERENCES
public,allocations,authenticated,SELECT
public,allocations,authenticated,TRIGGER
public,allocations,authenticated,TRUNCATE
public,allocations,authenticated,UPDATE
public,allocations,postgres,DELETE
public,allocations,postgres,INSERT
public,allocations,postgres,REFERENCES
public,allocations,postgres,SELECT
public,allocations,postgres,TRIGGER
public,allocations,postgres,TRUNCATE
public,allocations,postgres,UPDATE
public,allocations,service_role,DELETE
public,allocations,service_role,INSERT
public,allocations,service_role,REFERENCES
public,allocations,service_role,SELECT
public,allocations,service_role,TRIGGER
public,allocations,service_role,TRUNCATE
public,allocations,service_role,UPDATE
public,allocations_archive,anon,DELETE
public,allocations_archive,anon,INSERT
public,allocations_archive,anon,REFERENCES
public,allocations_archive,anon,SELECT
public,allocations_archive,anon,TRIGGER
public,allocations_archive,anon,TRUNCATE
public,allocations_archive,anon,UPDATE
public,allocations_archive,authenticated,DELETE
public,allocations_archive,authenticated,INSERT
public,allocations_archive,authenticated,REFERENCES
public,allocations_archive,authenticated,SELECT
public,allocations_archive,authenticated,TRIGGER
public,allocations_archive,authenticated,TRUNCATE
public,allocations_archive,authenticated,UPDATE
public,allocations_archive,postgres,DELETE
public,allocations_archive,postgres,INSERT
public,allocations_archive,postgres,REFERENCES
public,allocations_archive,postgres,SELECT
public,allocations_archive,postgres,TRIGGER
public,allocations_archive,postgres,TRUNCATE
public,allocations_archive,postgres,UPDATE
public,allocations_archive,service_role,DELETE
public,allocations_archive,service_role,INSERT
public,allocations_archive,service_role,REFERENCES
public,allocations_archive,service_role,SELECT
public,allocations_archive,service_role,TRIGGER
public,allocations_archive,service_role,TRUNCATE
