schemaname,table_name,seq_scan,idx_scan,seq_tup_read,idx_tup_fetch,n_live_tup,n_dead_tup,total_size
public,table_adjacencies,7,0,266,0,266,0,112 kB
public,restaurant_memberships,17,123,116,167,20,4,64 kB
public,restaurants,34,347,91,347,4,0,80 kB
public,table_inventory,14,1066,81,1064,81,0,128 kB
public,restaurant_service_periods,7,0,45,0,45,0,48 kB
public,restaurant_operating_hours,6,0,29,0,29,0,48 kB
public,zones,6,81,18,81,18,0,48 kB
public,allowed_capacities,6,82,13,81,13,0,40 kB
public,booking_occasions,7,90,4,90,4,0,64 kB
public,bookings,45,2,0,0,0,0,168 kB
public,booking_table_assignments,40,0,0,0,0,0,112 kB
public,table_holds,36,0,0,0,0,0,104 kB
public,customers,23,6,0,0,0,0,88 kB
public,booking_assignment_idempotency,16,0,0,0,0,0,64 kB
public,profiles,3,20,0,7,5,7,64 kB
public,email_delivery_log,17,11,0,0,0,0,64 kB
public,analytics_events,17,0,0,0,0,0,64 kB
public,table_hold_members,16,0,0,0,0,0,56 kB
public,manual_assignment_sessions,21,0,0,0,0,0,48 kB
public,capacity_outbox,5,0,0,0,0,0,48 kB
public,audit_logs,5,0,0,0,0,0,48 kB
public,user_profiles,2,20,0,7,5,7,48 kB
public,waiting_list,9,0,0,0,0,0,40 kB
public,table_hold_windows,11,0,0,0,0,0,40 kB
public,booking_slots,12,0,0,0,0,0,40 kB
public,table_scarcity_metrics,9,0,0,0,0,0,40 kB
public,booking_confirmation_results,10,0,0,0,0,0,40 kB
public,booking_versions,10,0,0,0,0,0,40 kB
public,restaurant_invites,16,0,0,0,0,0,40 kB
public,allocations,18,0,0,0,0,0,40 kB
public,loyalty_point_events,9,0,0,0,0,0,32 kB
public,booking_state_history,15,0,0,0,0,0,32 kB
public,allocations_archive,3,0,0,0,0,0,32 kB
public,restaurant_turn_bands,9,0,0,0,0,0,32 kB
public,booking_assignment_attempts,7,0,0,0,0,0,32 kB
public,table_merge_graph,6,0,0,0,0,0,32 kB
public,demand_profiles,7,0,0,0,0,0,32 kB
public,loyalty_programs,7,0,0,0,0,0,32 kB
public,observability_events,2,0,0,0,0,0,24 kB
public,restaurant_capacity_rules,7,0,0,0,0,0,24 kB
public,loyalty_points,8,0,0,0,0,0,24 kB
public,profile_update_requests,3,6,0,0,0,0,24 kB
public,strategic_configs,15,0,0,0,0,0,24 kB
public,booking_occasions_audit,2,0,0,0,0,0,24 kB
public,customer_profiles,5,0,0,0,0,0,24 kB
public,feature_flag_overrides,2,0,0,0,0,0,24 kB
public,_migrations,2,0,0,0,0,0,16 kB
public,leads,1,0,0,0,0,0,16 kB
public,merge_rules,4,0,0,0,0,0,16 kB
public,service_policy,2,0,0,0,0,0,8192 bytes
