Zones:
- 15e3708a-bc0d-41e4-a272-c330bbe16ae9 | Main Zone 1 | sort 1 | active true
- ca56045a-c6da-4e0f-9b45-bb3f667a5841 | Main Zone 2 | sort 2 | active true
- 128f446b-98cc-451b-b838-946f7f981b2a | Main Zone 3 | sort 3 | active true
- f2319f1c-3a3f-4b40-b027-cb83db9a956f | Main Zone 4 | sort 4 | active true
- fa3e8a3d-c48b-40b9-9a43-eeeed148a44b | Main Zone 5 | sort 5 | active true
- b6013bb7-11a1-42d0-88ac-b154eb5b83df | Main Zone 6 | sort 6 | active true
- fbf0b58d-f9d7-4fb5-8384-a4b2165a31e0 | Private Zone | sort 7 | active true
Tables:
- 94616b82-26c4-4161-84d3-58dfbcbd87dd | table 6M | cap 4 | zone 128f446b-98cc-451b-b838-946f7f981b2a | mobility movable | status available | active true
- 7ec5b07d-096c-4c6b-9d06-0e3da621346f | table 7M | cap 4 | zone 128f446b-98cc-451b-b838-946f7f981b2a | mobility movable | status available | active true
- 98c059f7-a381-40e3-9314-f3fa76e01afe | table 12M | cap 4 | zone 15e3708a-bc0d-41e4-a272-c330bbe16ae9 | mobility movable | status available | active true
- 49bf1ed7-4ac2-49e9-8d19-414ed2abdf0d | table 18M | cap 4 | zone 15e3708a-bc0d-41e4-a272-c330bbe16ae9 | mobility movable | status available | active true
- adedc04f-fe7b-48bd-991f-7225a0db264f | table 9M | cap 4 | zone 15e3708a-bc0d-41e4-a272-c330bbe16ae9 | mobility movable | status available | active true
- 98252f35-d705-4a73-bcbe-c93c2586aa97 | table 10F | cap 2 | zone b6013bb7-11a1-42d0-88ac-b154eb5b83df | mobility fixed | status available | active true
- 649165ac-43ad-4bed-87ff-4fdc6b66ca26 | table 20F | cap 4 | zone b6013bb7-11a1-42d0-88ac-b154eb5b83df | mobility fixed | status available | active true
- ee773d5b-ab63-438a-84c8-fc87493d76c6 | table 23F | cap 4 | zone b6013bb7-11a1-42d0-88ac-b154eb5b83df | mobility fixed | status available | active true
- ce1dd76e-bec0-47aa-93a5-b9c759308d54 | table 3M | cap 2 | zone ca56045a-c6da-4e0f-9b45-bb3f667a5841 | mobility movable | status available | active true
- 47ed637c-5eca-4011-9128-91722e03a78c | table 4M | cap 4 | zone ca56045a-c6da-4e0f-9b45-bb3f667a5841 | mobility movable | status available | active true
- 736358c3-d4e9-4ab3-95ba-4c066391b9b7 | table 5M | cap 4 | zone ca56045a-c6da-4e0f-9b45-bb3f667a5841 | mobility movable | status available | active true
- b5ecf969-000a-4bf8-8d4d-f94b080e0edf | table 22M | cap 4 | zone f2319f1c-3a3f-4b40-b027-cb83db9a956f | mobility movable | status available | active true
- a842b54f-dbc1-4aca-9da6-7f5d76a744b2 | table 8M | cap 2 | zone f2319f1c-3a3f-4b40-b027-cb83db9a956f | mobility movable | status available | active true
- d5d26066-e2b2-486f-a689-285aa08702a6 | table 17M | cap 2 | zone fa3e8a3d-c48b-40b9-9a43-eeeed148a44b | mobility movable | status available | active true
- 5495f506-704a-4fd0-ad30-4905ba72aa7c | table 1M | cap 4 | zone fa3e8a3d-c48b-40b9-9a43-eeeed148a44b | mobility movable | status available | active true
- 8612278d-4e1d-4a80-af63-fa8797fe8cd9 | table 2M | cap 4 | zone fa3e8a3d-c48b-40b9-9a43-eeeed148a44b | mobility movable | status available | active true
- 1cd5e475-7ca3-4617-91be-9781aaf3b2d7 | table 30F | cap 7 | zone fbf0b58d-f9d7-4fb5-8384-a4b2165a31e0 | mobility fixed | status available | active true
