audience,category,feature,surface,entry_point,source
ops,Auth/Profile,Ops staff sign-in,UI,/app/auth/signin,src/app/app/auth/signin/page.tsx
ops,Analytics,Dashboard overview,UI,/app/dashboard,src/app/app/(app)/dashboard/page.tsx
ops,Bookings,Dashboard print view,UI,/app/dashboard/print,src/app/app/(app)/dashboard/print/page.tsx
ops,Bookings,Bookings management,UI,/app/bookings,src/app/app/(app)/bookings/page.tsx
ops,Bookings,New bookings / walk-in logging,UI,/app/new-bookings,src/app/app/(app)/new-bookings/page.tsx
ops,Analytics,Rejections analytics,UI,/app/rejections,src/app/app/(app)/rejections/page.tsx
ops,Customers,Customer database,UI,/app/customers,src/app/app/(app)/customers/page.tsx
ops,Messaging/Notifications,Email status,UI,/app/email-status,src/app/app/(app)/email-status/page.tsx
ops,Tables/Floor Plan,Floor plan,UI,/app/floor-plan,src/app/app/(app)/floor-plan/page.tsx
ops,Tables/Floor Plan,Seating overview,UI,/app/seating,src/app/app/(app)/seating/page.tsx
ops,Tables/Floor Plan,Seating floor plan,UI,/app/seating/floor-plan,src/app/app/(app)/seating/floor-plan/page.tsx
ops,Settings/Restaurant,Restaurant settings overview,UI,/app/settings/restaurant,src/app/app/(app)/settings/restaurant/page.tsx
ops,Settings/Restaurant,Restaurant profile,UI,/app/settings/restaurant/profile,src/app/app/(app)/settings/restaurant/profile/page.tsx
ops,Settings/Restaurant,Operating hours,UI,/app/settings/restaurant/operating-hours,src/app/app/(app)/settings/restaurant/operating-hours/page.tsx
ops,Settings/Restaurant,Service periods,UI,/app/settings/restaurant/service-periods,src/app/app/(app)/settings/restaurant/service-periods/page.tsx
ops,Settings/Restaurant,Booking occasions,UI,/app/settings/restaurant/occasions,src/app/app/(app)/settings/restaurant/occasions/page.tsx
ops,Settings/Team,Restaurant team settings,UI,/app/settings/restaurant/team,src/app/app/(app)/settings/restaurant/team/page.tsx
ops,Settings/Tables,Tables configuration,UI,/app/settings/tables,src/app/app/(app)/settings/tables/page.tsx
ops,Settings/Team,Team management,UI,/app/management/team,src/app/app/(app)/management/team/page.tsx
ops,Onboarding,Onboarding start,UI,/onboarding,src/app/onboarding/page.tsx
ops,Onboarding,Onboarding profile,UI,/onboarding/profile,src/app/onboarding/profile/page.tsx
ops,Onboarding,Onboarding hours,UI,/onboarding/hours,src/app/onboarding/hours/page.tsx
ops,Onboarding,Onboarding services,UI,/onboarding/services,src/app/onboarding/services/page.tsx
ops,Onboarding,Onboarding tables,UI,/onboarding/tables,src/app/onboarding/tables/page.tsx
ops,Onboarding,Onboarding review,UI,/onboarding/review,src/app/onboarding/review/page.tsx
guest,Marketing,Landing page,UI,/,src/app/(public)/page.tsx
guest,Auth/Profile,Role selection,UI,/auth,src/app/(public)/auth/(role-selection)/page.tsx
guest,Auth/Profile,Guest sign-in,UI,/auth/signin,src/app/(public)/auth/signin/page.tsx
guest,Auth/Profile,Guest sign-up,UI,/auth/signup,src/app/auth/signup/page.tsx
guest,Restaurants/Search,Restaurants list,UI,/restaurants,src/app/(public)/(marketing)/restaurants/page.tsx
guest,Restaurants/Search,Restaurant detail,UI,/restaurants/[slug],src/app/(public)/(marketing)/restaurants/[slug]/page.tsx
guest,Bookings,Restaurant booking wizard,UI,/restaurants/[slug]/book,src/app/(public)/(marketing)/restaurants/[slug]/book/page.tsx
guest,Bookings,Restaurant booking thank-you,UI,/restaurants/[slug]/book/thank-you,src/app/(public)/(marketing)/restaurants/[slug]/book/thank-you/page.tsx
guest,Bookings,Restaurant thank-you consolidation,UI,/restaurants/[slug]/thank-you,src/app/(public)/(marketing)/restaurants/[slug]/thank-you/page.tsx
guest,Bookings,Bookings landing,UI,/bookings,src/app/(public)/bookings/page.tsx
guest,Bookings,Booking detail (public/token),UI,/bookings/[bookingId],src/app/(public)/bookings/[bookingId]/page.tsx
guest,Bookings,Manage booking redirect,UI,/bookings/[bookingId]/manage,src/app/(public)/bookings/[bookingId]/manage/page.tsx
guest,Bookings,Booking thank-you,UI,/bookings/[bookingId]/thank-you,src/app/(public)/bookings/[bookingId]/thank-you/page.tsx
guest,Bookings,Booking recovery error,UI,/bookings/recover/error,src/app/(public)/bookings/recover/error/page.tsx
guest,Bookings,Guest booking receipt,UI,/guest/bookings/[bookingId]/receipt,src/app/guest/bookings/[bookingId]/receipt/page.tsx
guest,Auth/Profile,Guest dashboard,UI,/guest/dashboard,src/app/guest/dashboard/page.tsx
guest,Bookings,Guest bookings list,UI,/guest/bookings,src/app/guest/bookings/page.tsx
guest,Bookings,Guest booking detail,UI,/guest/bookings/[bookingId],src/app/guest/bookings/[bookingId]/page.tsx
guest,Auth/Profile,Guest profile,UI,/guest/profile,src/app/guest/profile/page.tsx
guest,Bookings,Guest thank-you redirect,UI,/guest/thank-you,src/app/guest/thank-you/page.tsx
guest,Auth/Profile,Guest portal root redirect,UI,/guest,src/app/guest/page.tsx
guest,Infra/Safety,Sentry example page,UI,/sentry-example-page,src/app/sentry-example-page/page.tsx
ops,Bookings,Ops bookings list/create,API,/api/ops/bookings,src/app/api/ops/bookings/route.ts
ops,Bookings,Ops booking detail/update,API,/api/ops/bookings/[id],src/app/api/ops/bookings/[id]/route.ts
ops,Bookings,Ops booking history,API,/api/ops/bookings/[id]/history,src/app/api/ops/bookings/[id]/history/route.ts
