index_bytes,index_scans,index_size,indexname,schemaname,tablename,tuples_fetched,tuples_read
16384,48569,16 kB,"restaurants_pkey",public,"restaurants",48569,48569
90112,31035,88 kB,"table_inventory_pkey",public,"table_inventory",30223,31035
589824,29000,576 kB,"customers_pkey",public,"customers",16500,16500
16384,17190,16 kB,"booking_occasions_pkey",public,"booking_occasions",17190,17190
1155072,16500,1128 kB,"bookings_reference_key",public,"bookings",0,0
1843200,12500,1800 kB,"customers_restaurant_id_email_normalized_key",public,"customers",0,0
2244608,12500,2192 kB,"customers_restaurant_email_phone_key",public,"customers",0,0
1032192,12500,1008 kB,"customers_restaurant_id_phone_normalized_key",public,"customers",0,0
434176,9590,424 kB,"booking_table_assignments_booking_table_key",public,"booking_table_assignments",98,1182
622592,7065,608 kB,"bookings_pkey",public,"bookings",6865,7065
303104,6665,296 kB,"booking_table_assignments_pkey",public,"booking_table_assignments",0,0
376832,6180,368 kB,"table_adjacencies_pkey",public,"table_adjacencies",672,3280
16384,1597,16 kB,allowed_capacities_pkey,public,allowed_capacities,1392,1685
1048576,1200,1024 kB,"idx_bookings_datetime",public,"bookings",120000,120000
16384,861,16 kB,"zones_pkey",public,"zones",861,861
335872,475,328 kB,"idx_bta_booking_start",public,"booking_table_assignments",22,422
155648,400,152 kB,"idx_booking_table_assignments_table",public,"booking_table_assignments",0,400
40960,212,40 kB,"idx_table_inventory_allowed_capacity",public,"table_inventory",1924,5544
1056768,195,1032 kB,"idx_bookings_restaurant_date_start",public,"bookings",2925,2925
16384,121,16 kB,"restaurant_memberships_pkey",public,"restaurant_memberships",30,30
8192,105,8192 bytes,"restaurant_turn_bands_unique_idx",public,"restaurant_turn_bands",0,0
8192,105,8192 bytes,"idx_restaurant_capacity_rules_restaurant_id",public,"restaurant_capacity_rules",0,0
16384,96,16 kB,"idx_restaurant_service_periods_restaurant_id",public,"restaurant_service_periods",204,1149
16384,87,16 kB,"idx_restaurant_operating_hours_restaurant_id",public,"restaurant_operating_hours",56,610
16384,72,16 kB,"idx_memberships_user",public,"restaurant_memberships",15,193
16384,56,16 kB,"restaurants_slug_key",public,"restaurants",6,6
122880,50,120 kB,"idx_customers_restaurant",public,"customers",0,0
98304,37,96 kB,"table_inventory_restaurant_id_table_number_key",public,"table_inventory",962,962
204800,35,200 kB,"idx_bookings_restaurant",public,"bookings",1650,1650
196608,22,192 kB,"idx_bookings_status",public,"bookings",0,0
