calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
170,2700.24,77.58,"SELECT name FROM pg_timezone_names",-7726440967385220442,202980,0,0,0,0,13189.40,0
50,32.64,24.03,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-7459640450888879732,10000,494870,0,0,0,1201.51,19175370
170,39.02,23.68,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $3), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $4), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",5299301975933694258,4747,373982,242,0,0,4024.78,51148
50,29.41,16.08,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-1057300786418801994,6500,322596,0,0,0,803.90,12626836
170,29.98,15.13,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $2), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $3), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",-1368919766788970690,11990,314402,85,0,0,2571.37,60655
50,29.26,9.35,"insert into public.customers (id, restaurant_id, full_name, email, phone) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20), ($21, $22, $23, $24, $25), ($26, $27, $28, $29, $30), ($31, $32, $33, $34, $35), ($36, $37, $38, $39, $40), ($41, $42, $43, $44, $45), ($46, $47, $48, $49, $50), ($51, $52, $53, $54, $55), ($56, $57, $58, $59, $60), ($61, $62, $63, $64, $65), ($66, $67, $68, $69, $70), ($71, $72, $73, $74, $75), ($76, $77, $78, $79, $8",4663962759163717404,10000,289611,0,0,0,467.38,10883712
50,7.52,5.41,"insert into public.table_adjacencies (table_a, table_b) values ($1, $2), ($3, $4), ($5, $6), ($7, $8), ($9, $10), ($11, $12), ($13, $14), ($15, $16), ($17, $18), ($19, $20), ($21, $22), ($23, $24), ($25, $26), ($27, $28), ($29, $30), ($31, $32), ($33, $34), ($35, $36), ($37, $38), ($39, $40), ($41, $42), ($43, $44), ($45, $46), ($47, $48), ($49, $50), ($51, $52), ($53, $54), ($55, $56), ($57, $58), ($59, $60), ($61, $62), ($63, $64), ($65, $66), ($67, $68), ($69, $70), ($71, $72), ($73, $74), ($",-5658382491827552161,5300,123716,0,0,0,270.49,1883044
15,6.81,4.95,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput,
       coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY (
  SELECT a.atttypid
  FROM pg_attribute AS a
  WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT a.attisdropped
  ORDER BY a.attnum
)

FROM pg_type AS t
LEFT JOIN pg_type AS d ON t.typbasetype = d.oid
LEFT JOIN pg_range AS r ON r.rngtypid = t.oid OR r.rngmultitypid = t.oid OR (t.typbasetype <> $3 AND r.rngtypid = t.typbasetype)
WHERE (t.typre",8580411586163530256,3557,39871,0,0,0,74.28,0
14,22.70,4.66,"CREATE OR REPLACE FUNCTION pg_temp.count_estimate(
    query text
) RETURNS integer LANGUAGE plpgsql AS $$
DECLARE
    plan jsonb;
BEGIN
    EXECUTE 'EXPLAIN (FORMAT JSON)' || query INTO plan;
    RETURN plan->0->'Plan'->'Plan Rows';
END;
$$",-1797792157264076365,0,7633,3,0,0,65.27,269403
18243,7159.32,4.02,"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors
FROM realtime.list_changes($1, $2, $3, $4)",-8266875133769530555,0,23532182,0,0,0,73393.17,0
50,3.79,2.56,"insert into public.customers (id, restaurant_id, full_name, email, phone) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20), ($21, $22, $23, $24, $25), ($26, $27, $28, $29, $30), ($31, $32, $33, $34, $35), ($36, $37, $38, $39, $40), ($41, $42, $43, $44, $45), ($46, $47, $48, $49, $50), ($51, $52, $53, $54, $55), ($56, $57, $58, $59, $60), ($61, $62, $63, $64, $65), ($66, $67, $68, $69, $70), ($71, $72, $73, $74, $75), ($76, $77, $78, $79, $8",-8531135500874206699,2500,72737,0,0,0,127.76,2747336
170,3.99,2.06,"with recursive
pks_fks as (
  -- pk + fk referencing col
  select
    contype::text as contype,
    conname,
    array_length(conkey, $3) as ncol,
    conrelid as resorigtbl,
    col as resorigcol,
    ord
  from pg_constraint
  left join lateral unnest(conkey) with ordinality as _(col, ord) on $4
  where contype IN ($5, $6)
  union
  -- fk referenced col
  select
    concat(contype, $7) as contype,
    conname,
    array_length(confkey, $8) as ncol,
    confrelid,
    col,
    ord
  from pg_con",-6019717523838313193,0,27934,18,0,0,349.46,120
170,2.71,1.96,"with
role_setting as (
  select r.rolname, unnest(r.rolconfig) as setting
  from pg_auth_members m
  join pg_roles r on r.oid = m.roleid
  where member = current_user::regrole::oid
),
kv_settings AS (
  SELECT
    rolname,
    substr(setting, $1, strpos(setting, $2) - $3) as key,
    lower(substr(setting, strpos(setting, $4) + $5)) as value
  FROM role_setting
),
iso_setting AS (
  SELECT rolname, value
  FROM kv_settings
  WHERE key = $6
)
select
  kv.rolname,
  i.value as iso_lvl,
  coalesce(a",7899190504599315261,340,89417,3,0,0,333.48,0
170,3.76,1.57,"WITH
pks_uniques_cols AS (
  SELECT
    conrelid,
    array_agg(key order by key) as cols
  FROM pg_constraint,
  LATERAL unnest(conkey) AS _(key)
  WHERE
    contype IN ($1, $2)
    AND connamespace <> $3::regnamespace
  GROUP BY oid, conrelid
)
SELECT
  ns1.nspname AS table_schema,
  tab.relname AS table_name,
  ns2.nspname AS foreign_table_schema,
  other.relname AS foreign_table_name,
  traint.conrelid = traint.confrelid AS is_self,
  traint.conname  AS constraint_name,
  column_info.cols_an",4272184973515172242,7215,123704,0,0,0,267.47,82
170,2.27,1.57,"with
all_relations as (
  select reltype
  from pg_class
  where relkind in ($1,$2,$3,$4,$5)
),
computed_rels as (
  select
    (parse_ident(p.pronamespace::regnamespace::text))[$6] as schema,
    p.proname::text                  as name,
    arg_schema.nspname::text         as rel_table_schema,
    arg_name.typname::text           as rel_table_name,
    ret_schema.nspname::text         as rel_ftable_schema,
    ret_name.typname::text           as rel_ftable_name,
    not p.proretset or p.prorow",-5945916706620701072,0,28735,2,0,0,266.51,1084
