calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
18243,7159.32,4.02,"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors
FROM realtime.list_changes($1, $2, $3, $4)",-8266875133769530555,0,23532182,0,0,0,73393.17,0
170,2700.24,77.58,"SELECT name FROM pg_timezone_names",-7726440967385220442,202980,0,0,0,0,13189.40,0
170,39.02,23.68,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $3), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $4), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",5299301975933694258,4747,373982,242,0,0,4024.78,51148
170,29.98,15.13,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $2), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $3), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",-1368919766788970690,11990,314402,85,0,0,2571.37,60655
50,32.64,24.03,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-7459640450888879732,10000,494870,0,0,0,1201.51,19175370
50,29.41,16.08,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-1057300786418801994,6500,322596,0,0,0,803.90,12626836
2,485.40,303.21,"COPY public.restaurants (id, name, slug, timezone, capacity, created_at, updated_at, contact_email, contact_phone, address, booking_policy, reservation_interval_minutes, reservation_default_duration_minutes, reservation_last_seating_buffer_minutes, is_active, logo_url, email_send_reminder_24h, email_send_reminder_short, email_send_review_request, google_map_url, reservation_lifecycle_grace_minutes, google_review_url, email_templates) FROM stdin",-1824580665906467204,8,374,4,0,0,606.41,6878
6,99.05,91.42,"with f as (
      
-- CTE with sane arg_modes, arg_names, and arg_types.
-- All three are always of the same length.
-- All three include all args, including OUT and TABLE args.
with functions as (
  select
    *,
    -- proargmodes is null when all arg modes are IN
    coalesce(
      p.proargmodes,
      array_fill($1::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_modes,
    -- proargnames is null when all args are unnamed
    coalesce(
      p.proargnames,
",4566076159892086781,962,4670,0,768,6834,548.53,0
50,29.26,9.35,"insert into public.customers (id, restaurant_id, full_name, email, phone) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20), ($21, $22, $23, $24, $25), ($26, $27, $28, $29, $30), ($31, $32, $33, $34, $35), ($36, $37, $38, $39, $40), ($41, $42, $43, $44, $45), ($46, $47, $48, $49, $50), ($51, $52, $53, $54, $55), ($56, $57, $58, $59, $60), ($61, $62, $63, $64, $65), ($66, $67, $68, $69, $70), ($71, $72, $73, $74, $75), ($76, $77, $78, $79, $8",4663962759163717404,10000,289611,0,0,0,467.38,10883712
170,3.99,2.06,"with recursive
pks_fks as (
  -- pk + fk referencing col
  select
    contype::text as contype,
    conname,
    array_length(conkey, $3) as ncol,
    conrelid as resorigtbl,
    col as resorigcol,
    ord
  from pg_constraint
  left join lateral unnest(conkey) with ordinality as _(col, ord) on $4
  where contype IN ($5, $6)
  union
  -- fk referenced col
  select
    concat(contype, $7) as contype,
    conname,
    array_length(confkey, $8) as ncol,
    confrelid,
    col,
    ord
  from pg_con",-6019717523838313193,0,27934,18,0,0,349.46,120
