est_rows,idx_scan,idx_tup_fetch,schemaname,seq_scan,seq_tup_read,tablename
218,878,929,public,564,33306,"zones"
16500,25018,133091,public,52,66000,"bookings"
54,48625,48575,public,43,424,"restaurants"
6665,17131,799,public,42,0,"booking_table_assignments"
0,0,0,public,37,0,table_holds
5566,6180,672,public,28,31292,"table_adjacencies"
379,87,610,public,28,1619,"restaurant_operating_hours"
1381,31284,34227,public,25,1362,"table_inventory"
0,0,0,public,23,0,"manual_assignment_sessions"
12500,66557,17780,public,23,0,"customers"
645,96,1149,public,21,1011,"restaurant_service_periods"
0,0,0,public,19,0,"allocations"
0,15,0,public,17,0,"email_delivery_log"
0,0,0,public,17,0,"booking_assignment_idempotency"
0,0,0,public,17,0,"restaurant_invites"
0,0,0,public,17,0,"analytics_events"
70,193,223,public,17,116,"restaurant_memberships"
0,0,0,public,16,0,"strategic_configs"
0,0,0,public,16,0,"booking_state_history"
0,0,0,public,16,0,"table_hold_members"
213,1597,1685,public,13,748,allowed_capacities
0,0,0,public,12,0,"booking_slots"
0,0,0,public,11,0,"booking_confirmation_results"
0,0,0,public,11,0,"table_hold_windows"
0,105,0,public,10,0,"restaurant_turn_bands"
0,0,0,public,10,0,"booking_versions"
0,0,0,public,9,0,"waiting_list"
0,0,0,public,9,0,"table_scarcity_metrics"
0,105,0,public,9,0,"restaurant_capacity_rules"
0,0,0,public,7,0,"booking_assignment_attempts"
0,0,0,public,7,0,"demand_profiles"
4,17190,17190,public,7,4,"booking_occasions"
0,0,0,public,6,0,"table_merge_graph"
0,0,0,public,5,0,capacity_outbox
0,0,0,public,5,0,"customer_profiles"
6665,0,0,public,5,0,audit_logs
0,0,0,public,4,0,"merge_rules"
5,20,7,public,4,5,"profiles"
0,0,0,public,3,0,"allocations_archive"
0,6,0,public,3,0,"profile_update_requests"
0,0,0,public,2,0,"observability_events"
0,0,0,public,2,0,"service_policy"
0,0,0,public,2,0,"feature_flag_overrides"
5,20,7,public,2,0,"user_profiles"
0,0,0,public,2,0,"_migrations"
0,0,0,public,2,0,"booking_occasions_audit"
0,0,0,public,1,0,leads
