est_rows,indexes_size,schemaname,table_size,tablename,total_bytes,total_size
16500,8312 kB,public,6616 kB,"bookings",15327232,15 MB
12500,5808 kB,public,3032 kB,"customers",9093120,8880 kB
6665,2416 kB,public,1304 kB,"booking_table_assignments",3850240,3760 kB
6665,1240 kB,public,1976 kB,audit_logs,3334144,3256 kB
5566,472 kB,public,376 kB,"table_adjacencies",901120,880 kB
1381,352 kB,public,216 kB,"table_inventory",622592,608 kB
645,128 kB,public,80 kB,"restaurant_service_periods",245760,240 kB
379,96 kB,public,48 kB,"restaurant_operating_hours",180224,176 kB
218,72 kB,public,24 kB,"zones",131072,128 kB
0,104 kB,public,0 bytes,table_holds,114688,112 kB
54,48 kB,public,16 kB,"restaurants",98304,96 kB
0,56 kB,public,0 bytes,"manual_assignment_sessions",65536,64 kB
4,48 kB,public,8192 bytes,"booking_occasions",65536,64 kB
5,48 kB,public,8192 bytes,"profiles",65536,64 kB
70,48 kB,public,8192 bytes,"restaurant_memberships",65536,64 kB
0,56 kB,public,0 bytes,"email_delivery_log",65536,64 kB
0,56 kB,public,0 bytes,"analytics_events",65536,64 kB
213,16 kB,public,16 kB,allowed_capacities,57344,56 kB
5,32 kB,public,8192 bytes,"user_profiles",49152,48 kB
0,40 kB,public,0 bytes,"allocations",49152,48 kB
0,40 kB,public,0 bytes,capacity_outbox,49152,48 kB
0,40 kB,public,0 bytes,"restaurant_invites",49152,48 kB
0,32 kB,public,0 bytes,"table_hold_windows",40960,40 kB
0,32 kB,public,0 bytes,"booking_state_history",40960,40 kB
0,32 kB,public,0 bytes,"booking_versions",40960,40 kB
0,32 kB,public,0 bytes,"restaurant_capacity_rules",40960,40 kB
0,32 kB,public,0 bytes,"booking_assignment_idempotency",40960,40 kB
0,32 kB,public,0 bytes,"waiting_list",40960,40 kB
0,32 kB,public,0 bytes,"booking_confirmation_results",40960,40 kB
0,24 kB,public,0 bytes,"table_merge_graph",32768,32 kB
0,24 kB,public,0 bytes,"booking_assignment_attempts",32768,32 kB
0,24 kB,public,0 bytes,"restaurant_turn_bands",32768,32 kB
0,24 kB,public,0 bytes,"demand_profiles",32768,32 kB
0,24 kB,public,0 bytes,"allocations_archive",32768,32 kB
0,24 kB,public,0 bytes,"table_scarcity_metrics",32768,32 kB
0,32 kB,public,0 bytes,"booking_slots",32768,32 kB
0,16 kB,public,0 bytes,"observability_events",24576,24 kB
0,24 kB,public,0 bytes,"table_hold_members",24576,24 kB
0,16 kB,public,0 bytes,"feature_flag_overrides",24576,24 kB
0,16 kB,public,0 bytes,"profile_update_requests",24576,24 kB
0,24 kB,public,0 bytes,"strategic_configs",24576,24 kB
0,16 kB,public,0 bytes,"booking_occasions_audit",24576,24 kB
0,16 kB,public,0 bytes,"customer_profiles",24576,24 kB
0,16 kB,public,0 bytes,"merge_rules",16384,16 kB
0,8192 bytes,public,0 bytes,leads,16384,16 kB
0,16 kB,public,0 bytes,"_migrations",16384,16 kB
0,8192 bytes,public,0 bytes,"service_policy",8192,8192 bytes
